Measured;Date;Time;Charge
kW;1.1.2013;00:00;0,02
kW;1.1.2013;01:00;0,02
kW;1.1.2013;02:00;0,02
kW;1.1.2013;03:00;0,01
kW;1.1.2013;04:00;0,02
kW;1.1.2013;05:00;0,02
kW;1.1.2013;06:00;0,02
kW;1.1.2013;07:00;0,02
kW;1.1.2013;08:00;0,01
kW;1.1.2013;09:00;0,02
kW;1.1.2013;10:00;0,02
kW;1.1.2013;11:00;0,01
kW;1.1.2013;12:00;0,01
kW;1.1.2013;13:00;0,02
kW;1.1.2013;14:00;0,01
kW;1.1.2013;15:00;0,02
kW;1.1.2013;16:00;0,02
kW;1.1.2013;17:00;0
kW;1.1.2013;18:00;0
kW;1.1.2013;19:00;0
kW;1.1.2013;20:00;0
kW;1.1.2013;21:00;0
kW;1.1.2013;22:00;0
kW;1.1.2013;23:00;0
kW;2.1.2013;00:00;0
kW;2.1.2013;01:00;0
kW;2.1.2013;02:00;0
kW;2.1.2013;03:00;0
kW;2.1.2013;04:00;0
kW;2.1.2013;05:00;0
kW;2.1.2013;06:00;0
kW;2.1.2013;07:00;0
kW;2.1.2013;08:00;0,15
kW;2.1.2013;09:00;0,05
kW;2.1.2013;10:00;0
kW;2.1.2013;11:00;0
kW;2.1.2013;12:00;0
kW;2.1.2013;13:00;0,22
kW;2.1.2013;14:00;0,46
kW;2.1.2013;15:00;0,04
kW;2.1.2013;16:00;0,01
kW;2.1.2013;17:00;0,01
kW;2.1.2013;18:00;0,02
kW;2.1.2013;19:00;0,02
kW;2.1.2013;20:00;0,02
kW;2.1.2013;21:00;0,01
kW;2.1.2013;22:00;0,02
kW;2.1.2013;23:00;0,01
kW;3.1.2013;00:00;0,02
kW;3.1.2013;01:00;0,02
kW;3.1.2013;02:00;0,02
kW;3.1.2013;03:00;0,02
kW;3.1.2013;04:00;0,02
kW;3.1.2013;05:00;0,01
kW;3.1.2013;06:00;0,01
kW;3.1.2013;07:00;0,02
kW;3.1.2013;08:00;0,29
kW;3.1.2013;09:00;0,42
kW;3.1.2013;10:00;0,35
kW;3.1.2013;11:00;0,35
kW;3.1.2013;12:00;0,47
kW;3.1.2013;13:00;0,53
kW;3.1.2013;14:00;0,35
kW;3.1.2013;15:00;0,37
kW;3.1.2013;16:00;0,53
kW;3.1.2013;17:00;0,03
kW;3.1.2013;18:00;0,02
kW;3.1.2013;19:00;0,01
kW;3.1.2013;20:00;0,02
kW;3.1.2013;21:00;0,01
kW;3.1.2013;22:00;0,02
kW;3.1.2013;23:00;0,02
kW;4.1.2013;00:00;0,01
kW;4.1.2013;01:00;0,02
kW;4.1.2013;02:00;0,02
kW;4.1.2013;03:00;0,02
kW;4.1.2013;04:00;0,02
kW;4.1.2013;05:00;0,02
kW;4.1.2013;06:00;0,01
kW;4.1.2013;07:00;0,01
kW;4.1.2013;08:00;0,26
kW;4.1.2013;09:00;0,5
kW;4.1.2013;10:00;0,43
kW;4.1.2013;11:00;0,46
kW;4.1.2013;12:00;0,34
kW;4.1.2013;13:00;0,44
kW;4.1.2013;14:00;0,49
kW;4.1.2013;15:00;0,34
kW;4.1.2013;16:00;0,46
kW;4.1.2013;17:00;0,28
kW;4.1.2013;18:00;0,02
kW;4.1.2013;19:00;0,02
kW;4.1.2013;20:00;0,01
kW;4.1.2013;21:00;0,02
kW;4.1.2013;22:00;0,01
kW;4.1.2013;23:00;0,02
kW;5.1.2013;00:00;0,02
kW;5.1.2013;01:00;0,01
kW;5.1.2013;02:00;0,02
kW;5.1.2013;03:00;0,01
kW;5.1.2013;04:00;0,02
kW;5.1.2013;05:00;0,01
kW;5.1.2013;06:00;0,02
kW;5.1.2013;07:00;0,02
kW;5.1.2013;08:00;0,02
kW;5.1.2013;09:00;0,01
kW;5.1.2013;10:00;0,53
kW;5.1.2013;11:00;0,1
kW;5.1.2013;12:00;0
kW;5.1.2013;13:00;0
kW;5.1.2013;14:00;0
kW;5.1.2013;15:00;0
kW;5.1.2013;16:00;0
kW;5.1.2013;17:00;0
kW;5.1.2013;18:00;0
kW;5.1.2013;19:00;0
kW;5.1.2013;20:00;0
kW;5.1.2013;21:00;0
kW;5.1.2013;22:00;0
kW;5.1.2013;23:00;0
kW;6.1.2013;00:00;0
kW;6.1.2013;01:00;0
kW;6.1.2013;02:00;0
kW;6.1.2013;03:00;0
kW;6.1.2013;04:00;0
kW;6.1.2013;05:00;0
kW;6.1.2013;06:00;0
kW;6.1.2013;07:00;0
kW;6.1.2013;08:00;0
kW;6.1.2013;09:00;0
kW;6.1.2013;10:00;0
kW;6.1.2013;11:00;0
kW;6.1.2013;12:00;0
kW;6.1.2013;13:00;0
kW;6.1.2013;14:00;0
kW;6.1.2013;15:00;0
kW;6.1.2013;16:00;0
kW;6.1.2013;17:00;0
kW;6.1.2013;18:00;0
kW;6.1.2013;19:00;0
kW;6.1.2013;20:00;0
kW;6.1.2013;21:00;0
kW;6.1.2013;22:00;0
kW;6.1.2013;23:00;0
kW;7.1.2013;00:00;0
kW;7.1.2013;01:00;0
kW;7.1.2013;02:00;0
kW;7.1.2013;03:00;0
kW;7.1.2013;04:00;0
kW;7.1.2013;05:00;0
kW;7.1.2013;06:00;0
kW;7.1.2013;07:00;0
kW;7.1.2013;08:00;0,22
kW;7.1.2013;09:00;0,38
kW;7.1.2013;10:00;0,32
kW;7.1.2013;11:00;0,36
kW;7.1.2013;12:00;0,32
kW;7.1.2013;13:00;0,47
kW;7.1.2013;14:00;0,33
kW;7.1.2013;15:00;0,33
kW;7.1.2013;16:00;0,08
kW;7.1.2013;17:00;0
kW;7.1.2013;18:00;0
kW;7.1.2013;19:00;0
kW;7.1.2013;20:00;0
kW;7.1.2013;21:00;0
kW;7.1.2013;22:00;0
kW;7.1.2013;23:00;0
kW;8.1.2013;00:00;0
kW;8.1.2013;01:00;0
kW;8.1.2013;02:00;0
kW;8.1.2013;03:00;0
kW;8.1.2013;04:00;0
kW;8.1.2013;05:00;0
kW;8.1.2013;06:00;0
kW;8.1.2013;07:00;0
kW;8.1.2013;08:00;0,18
kW;8.1.2013;09:00;0,32
kW;8.1.2013;10:00;0,43
kW;8.1.2013;11:00;0,41
kW;8.1.2013;12:00;0,36
kW;8.1.2013;13:00;0,32
kW;8.1.2013;14:00;0,37
kW;8.1.2013;15:00;0,32
kW;8.1.2013;16:00;0,32
kW;8.1.2013;17:00;0,16
kW;8.1.2013;18:00;0
kW;8.1.2013;19:00;0
kW;8.1.2013;20:00;0
kW;8.1.2013;21:00;0
kW;8.1.2013;22:00;0
kW;8.1.2013;23:00;0
kW;9.1.2013;00:00;0
kW;9.1.2013;01:00;0
kW;9.1.2013;02:00;0
kW;9.1.2013;03:00;0
kW;9.1.2013;04:00;0
kW;9.1.2013;05:00;0
kW;9.1.2013;06:00;0
kW;9.1.2013;07:00;0
kW;9.1.2013;08:00;0
kW;9.1.2013;09:00;0
kW;9.1.2013;10:00;0
kW;9.1.2013;11:00;0
kW;9.1.2013;12:00;0
kW;9.1.2013;13:00;0
kW;9.1.2013;14:00;0
kW;9.1.2013;15:00;0
kW;9.1.2013;16:00;0
kW;9.1.2013;17:00;0
kW;9.1.2013;18:00;0
kW;9.1.2013;19:00;0
kW;9.1.2013;20:00;0
kW;9.1.2013;21:00;0
kW;9.1.2013;22:00;0
kW;9.1.2013;23:00;0
kW;10.1.2013;00:00;0
kW;10.1.2013;01:00;0
kW;10.1.2013;02:00;0
kW;10.1.2013;03:00;0
kW;10.1.2013;04:00;0
kW;10.1.2013;05:00;0
kW;10.1.2013;06:00;0
kW;10.1.2013;07:00;0
kW;10.1.2013;08:00;0,25
kW;10.1.2013;09:00;0,32
kW;10.1.2013;10:00;0,34
kW;10.1.2013;11:00;0,38
kW;10.1.2013;12:00;0,34
kW;10.1.2013;13:00;0,56
kW;10.1.2013;14:00;0,41
kW;10.1.2013;15:00;0,44
kW;10.1.2013;16:00;0,39
kW;10.1.2013;17:00;0,06
kW;10.1.2013;18:00;0
kW;10.1.2013;19:00;0
kW;10.1.2013;20:00;0
kW;10.1.2013;21:00;0
kW;10.1.2013;22:00;0
kW;10.1.2013;23:00;0
kW;11.1.2013;00:00;0
kW;11.1.2013;01:00;0
kW;11.1.2013;02:00;0
kW;11.1.2013;03:00;0
kW;11.1.2013;04:00;0
kW;11.1.2013;05:00;0
kW;11.1.2013;06:00;0
kW;11.1.2013;07:00;0
kW;11.1.2013;08:00;0,08
kW;11.1.2013;09:00;0,39
kW;11.1.2013;10:00;0,37
kW;11.1.2013;11:00;0,42
kW;11.1.2013;12:00;0,51
kW;11.1.2013;13:00;0,42
kW;11.1.2013;14:00;0,32
kW;11.1.2013;15:00;0,03
kW;11.1.2013;16:00;0
kW;11.1.2013;17:00;0
kW;11.1.2013;18:00;0
kW;11.1.2013;19:00;0
kW;11.1.2013;20:00;0
kW;11.1.2013;21:00;0
kW;11.1.2013;22:00;0
kW;11.1.2013;23:00;0
kW;12.1.2013;00:00;0
kW;12.1.2013;01:00;0
kW;12.1.2013;02:00;0
kW;12.1.2013;03:00;0
kW;12.1.2013;04:00;0
kW;12.1.2013;05:00;0
kW;12.1.2013;06:00;0
kW;12.1.2013;07:00;0
kW;12.1.2013;08:00;0
kW;12.1.2013;09:00;0
kW;12.1.2013;10:00;0
kW;12.1.2013;11:00;0
kW;12.1.2013;12:00;0
kW;12.1.2013;13:00;0
kW;12.1.2013;14:00;0
kW;12.1.2013;15:00;0
kW;12.1.2013;16:00;0
kW;12.1.2013;17:00;0
kW;12.1.2013;18:00;0
kW;12.1.2013;19:00;0
kW;12.1.2013;20:00;0
kW;12.1.2013;21:00;0
kW;12.1.2013;22:00;0
kW;12.1.2013;23:00;0
kW;13.1.2013;00:00;0
kW;13.1.2013;01:00;0
kW;13.1.2013;02:00;0
kW;13.1.2013;03:00;0
kW;13.1.2013;04:00;0
kW;13.1.2013;05:00;0
kW;13.1.2013;06:00;0
kW;13.1.2013;07:00;0
kW;13.1.2013;08:00;0
kW;13.1.2013;09:00;0
kW;13.1.2013;10:00;0
kW;13.1.2013;11:00;0
kW;13.1.2013;12:00;0
kW;13.1.2013;13:00;0
kW;13.1.2013;14:00;0
kW;13.1.2013;15:00;0
kW;13.1.2013;16:00;0
kW;13.1.2013;17:00;0
kW;13.1.2013;18:00;0
kW;13.1.2013;19:00;0
kW;13.1.2013;20:00;0
kW;13.1.2013;21:00;0
kW;13.1.2013;22:00;0
kW;13.1.2013;23:00;0
kW;14.1.2013;00:00;0
kW;14.1.2013;01:00;0
kW;14.1.2013;02:00;0
kW;14.1.2013;03:00;0
kW;14.1.2013;04:00;0
kW;14.1.2013;05:00;0
kW;14.1.2013;06:00;0
kW;14.1.2013;07:00;0
kW;14.1.2013;08:00;0,55
kW;14.1.2013;09:00;1
kW;14.1.2013;10:00;1,1
kW;14.1.2013;11:00;0,9
kW;14.1.2013;12:00;0,99
kW;14.1.2013;13:00;0,81
kW;14.1.2013;14:00;0,74
kW;14.1.2013;15:00;0,22
kW;14.1.2013;16:00;0
kW;14.1.2013;17:00;0
kW;14.1.2013;18:00;0
kW;14.1.2013;19:00;0
kW;14.1.2013;20:00;0
kW;14.1.2013;21:00;0
kW;14.1.2013;22:00;0
kW;14.1.2013;23:00;0
kW;15.1.2013;00:00;0
kW;15.1.2013;01:00;0
kW;15.1.2013;02:00;0
kW;15.1.2013;03:00;0
kW;15.1.2013;04:00;0
kW;15.1.2013;05:00;0
kW;15.1.2013;06:00;0
kW;15.1.2013;07:00;0
kW;15.1.2013;08:00;0,16
kW;15.1.2013;09:00;0,36
kW;15.1.2013;10:00;0,32
